,NAME,URL
0,論理思考で仕事の壁を乗り越える5つのポイント,https://unlimited.globis.co.jp/ja/courses/8f9dac7b
1,MECE,https://unlimited.globis.co.jp/ja/courses/4bfa66e5
2,ロジックツリー,https://unlimited.globis.co.jp/ja/courses/5e26f61c
3,ピラミッド構造,https://unlimited.globis.co.jp/ja/courses/f9b50210
4,演繹的／帰納的思考,https://unlimited.globis.co.jp/ja/courses/5027cf61
5,因果関係,https://unlimited.globis.co.jp/ja/courses/49b585e9
6,クリティカル・シンキング（論理思考編）,https://unlimited.globis.co.jp/ja/courses/7608976e
7,クリティカル・シンキング2（問題解決編）,https://unlimited.globis.co.jp/ja/courses/2d3d6b2e
8,クリティカル・シンキング3（仮説思考の鍛え方）,https://unlimited.globis.co.jp/ja/courses/2e634bc1
